Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
1;;Tom Ole;Haukom;M;NOR;;SS1;Menn senior;00:07:17;;;;OK
2;;Zakarias;Blom Johansen;M;NOR;;SS1;Menn senior;00:07:18;;;;OK
3;;Jostein;Sanderlien Hole;M;NOR;;SS1;Menn senior;00:07:50;;;;OK
4;;Raymond;Halvorsen;M;NOR;;SS1;Menn senior;00:07:55;;;;OK
5;;Espen;Evensen;M;NOR;;SS1;Menn senior;00:07:57;;;;OK
6;;Gaute;Reitan;M;NOR;;SS1;Menn senior;00:08:05;;;;OK
7;;Jonas;Lundin;M;NOR;;SS1;Menn senior;00:08:10;;;;OK
8;;Ola;Alsterholm;M;NOR;;SS1;Menn senior;00:08:20;;;;OK
9;;Erlend;Eggen;M;NOR;;SS1;Menn senior;00:08:22;;;;OK
10;;Eirik;Berg;M;NOR;;SS1;Menn senior;00:08:23;;;;OK
11;;John Ola;Buøy;M;NOR;;SS1;Menn senior;00:08:24;;;;OK
12;;Geir Ottar;Kvernstuen;M;NOR;;SS1;Menn senior;00:08:25;;;;OK
13;;Jan Helge;Aalbu;M;NOR;;SS1;Menn senior;00:08:28;;;;OK
14;;Are;Tallaksrud;M;NOR;;SS1;Menn senior;00:08:32;;;;OK
15;;Henrik;Grytbakk;M;NOR;;SS1;Menn senior;00:08:34;;;;OK
16;;Rickard;Sundell;M;NOR;;SS1;Menn senior;00:08:42;;;;OK
17;;Svenn;Fjeldheim;M;NOR;;SS1;Menn senior;00:08:43;;;;OK
18;;Emil;Carlson;M;NOR;;SS1;Menn senior;00:08:52;;;;OK
19;;Kristian;Eckhoff;M;NOR;;SS1;Menn senior;00:08:58;;;;OK
20;;Audun;Resser;M;NOR;;SS1;Menn senior;00:09:04;;;;OK
21;;Morten;Mølsted;M;NOR;;SS1;Menn senior;00:09:04;;;;OK
22;;Kenneth;Pedersen;M;NOR;;SS1;Menn senior;00:09:18;;;;OK
23;;Øyvind;Aas;M;NOR;;SS1;Menn senior;00:09:27;;;;OK
24;;Pål;Nakken;M;NOR;;SS1;Menn senior;00:09:35;;;;OK
25;;Thomas;Sandvig;M;NOR;;SS1;Menn senior;00:09:37;;;;OK
26;;Christian;Mindrebø;M;NOR;;SS1;Menn senior;00:09:37;;;;OK
27;;Anders;Anker-Rasch;M;NOR;;SS1;Menn senior;00:09:43;;;;OK
28;;Peter;Lomsdalen;M;NOR;;SS1;Menn senior;00:10:07;;;;OK
29;;Paal;Nyman;M;NOR;;SS1;Menn senior;00:10:18;;;;OK
30;;Simen;Scharning;M;NOR;;SS1;Menn senior;00:10:20;;;;OK
31;;Håvard;Hunstad;M;NOR;;SS1;Menn senior;00:10:27;;;;OK
32;;Frank;Seidel;M;NOR;;SS1;Menn senior;00:10:55;;;;OK
33;;Roy;Ripe;M;NOR;;SS1;Menn senior;00:10:55;;;;OK
34;;Pål;Opperud;M;NOR;;SS1;Menn senior;00:11:02;;;;OK
35;;Torstein;Heen;M;NOR;;SS1;Menn senior;00:11:06;;;;OK
36;;Stian;Bakken;M;NOR;;SS1;Menn senior;00:11:20;;;;OK
37;;Stijn;Dubbelman;M;NOR;;SS1;Menn senior;00:11:23;;;;OK
38;;Johannes;Lagos;M;NOR;;SS1;Menn senior;00:12:11;;;;OK
39;;Audun;Foyn;M;NOR;;SS1;Menn senior;00:12:12;;;;OK
40;;Sindre;Rasmussen;M;NOR;;SS1;Menn senior;00:12:25;;;;OK
41;;Jørgen;Beyer Strømquist;M;NOR;;SS1;Menn senior;00:12:47;;;;OK
42;;Zilvinas;Ratkus;M;NOR;;SS1;Menn senior;00:18:34;;;;OK
43;;Pål;Neverdal;M;NOR;;SS1;Menn senior;00:10:38;;;;OK
