Pos klasse;bib;Category;First Name;Surname;Team;Time;Gap;Penalties;FE 1 Time;FE 1 Pos;FE 2 Time;FE 2 Pos;FE 3 Time;FE 3 Pos;gender
1;144;G15-16;Falk;Håkenstad-Bråten;Lillehammer CK;00:20:58;;;00:06:09;1;00:05:48;1;00:09:01;1;M
2;150;G15-16;William;Scheele;SK Rye;00:21:58;+00:01:00;;00:06:24;3;00:06:18;2;00:09:16;2;M
3;148;G15-16;Mikkel;Pedersen;IF Frøy;00:22:24;+00:01:26;;00:06:17;2;00:06:31;3;00:09:36;3;M
4;151;G15-16;Erik;Tønnessen;Mck;00:22:52;+00:01:54;;00:06:34;4;00:06:32;5;00:09:46;4;M
5;140;G15-16;Kevin;Scott Johnsen ;;00:23:50;+00:02:52;;00:06:46;6;00:06:42;6;00:10:22;6;M
6;145;G15-16;Theodor;Bakken;Aron SK;00:23:58;+00:03:00;;00:07:02;7;00:06:51;7;00:10:05;5;M
7;146;G15-16;Emil;Aabye;Team Sykleriet;00:24:01;+00:03:03;;00:06:39;5;00:06:31;3;00:10:51;9;M
8;149;G15-16;Alexander;Sandengen;Kongen's berg sti og landeveis røvere;00:24:50;+00:03:52;;00:07:08;9;00:06:58;8;00:10:44;8;M
9;147;G15-16;William;Rø;;00:25:21;+00:04:23;;00:07:02;7;00:07:39;11;00:10:40;7;M
10;143;G15-16;Oscar;Saksvik;Asker CK;00:25:36;+00:04:38;;00:07:21;10;00:07:06;9;00:11:09;10;M
11;153;G15-16;Petter;Brochmann;CK Nittedal;00:26:35;+00:05:37;;00:07:22;11;00:07:18;10;00:11:55;11;M
12;154;G15-16;Sebastien;Amat Finstad;Nittedal CK;00:27:23;+00:06:25;;00:07:36;12;00:07:50;12;00:11:57;12;M
13;142;G15-16;Jonas ;Ã˜ien Skare;Gauldal Sk;00:28:27;+00:07:29;;00:07:48;13;00:08:41;13;00:11:58;13;M
14;152;G15-16;Even;Sandberg;Ck Nittedal;00:33:25;+00:12:27;;00:08:47;14;00:11:30;14;00:13:08;14;M
1;118;Junior Herrer;Kristian;Holiman;rye;00:20:36;;;00:05:47;1;00:05:53;1;00:08:56;1;M
2;117;Junior Herrer;Henrik;Langeland Nielsen;Kristiansand CK;00:22:09;+00:01:33;;00:06:10;2;00:06:14;4;00:09:45;4;M
3;113;Junior Herrer;Jonas;Olsson;Sk Rye;00:22:14;+00:01:38;;00:06:22;3;00:06:10;3;00:09:42;3;M
4;119;Junior Herrer;Tobias;Sandengen;Horten OCK;00:22:16;+00:01:40;;00:06:32;4;00:06:03;2;00:09:41;2;M
5;116;Junior Herrer;Aslak;Lindsetmo;Asker CK;00:22:49;+00:02:13;;00:06:39;5;00:06:15;5;00:09:55;5;M
6;111;Junior Herrer;Lukas;Ellingsen;Rye;00:25:13;+00:04:37;;00:06:48;6;00:07:01;6;00:11:24;6;M
7;114;Junior Herrer;Sverre;Storli Bjørnland;Lillehammer ck;00:26:54;+00:06:18;;00:06:58;7;00:07:29;7;00:12:27;7;M
