Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
1;;Pål;Nakken;M;;;SS1;Menn senior;04:38.5;00:00.0;;;OK
2;;Terje;Aamodt;M;;;SS1;Menn senior;04:42.3;00:03.9;;;OK
3;;Martin;Rødal;M;;;SS1;Menn senior;04:45.0;00:06.9;;;OK
4;;Kenneth;Bjørseth;M;;;SS1;Menn senior;04:59.6;00:21.1;;;OK
5;;Trond;Brudeseth;M;;;SS1;Menn senior;05:02.8;00:24.3;;;OK
6;;Tord Andre;Wist Langmoen;M;;;SS1;Menn senior;05:12.1;00:33.9;;;OK
7;;Knut;Festervoll;M;;;SS1;Menn senior;05:16.3;00:37.9;;;OK
8;;Per Alfred;Holte;M;;;SS1;Menn senior;05:42.2;01:03.9;;;OK
9;;Vidar;Emanuelsen Selju;M;;;SS1;Menn senior;05:44.3;01:05.9;;;OK
10;;Torgeir;Bye;M;;;SS1;Menn senior;05:47.7;01:09.2;;;OK
11;;Thomas;Vekve;M;;;SS1;Menn senior;05:48.0;01:09.9;;;OK
12;;Arne;Litlere;M;;;SS1;Menn senior;05:52.8;01:14.3;;;OK
13;;Øystein;Nesse;M;;;SS1;Menn senior;05:53.4;01:14.9;;;OK
14;;Svein Arne;Lindø;M;;;SS1;Menn senior;05:54.7;01:16.2;;;OK
15;;Håvard;Bjerkeli;M;;;SS1;Menn senior;05:56.8;01:18.3;;;OK
16;;Børge;Gjeldvik;M;;;SS1;Menn senior;05:57.7;01:19.2;;;OK
17;;Øyvind;Høgset;M;;;SS1;Menn senior;06:15.8;01:37.3;;;OK
18;;Trond;Svartvatn;M;;;SS1;Menn senior;06:18.1;01:39.9;;;OK
19;;Harald;Harstad;M;;;SS1;Menn senior;06:19.3;01:40.9;;;OK
20;;Knut;Stefanussen;M;;;SS1;Menn senior;06:25.1;01:46.9;;;OK
21;;Jørund;Gjeldvik;M;;;SS1;Menn senior;06:27.4;01:48.9;;;OK
22;;Torbjørn;Digernes Jakobsen;M;;;SS1;Menn senior;06:35.3;01:56.9;;;OK
23;;Jan Erik;Devold;M;;;SS1;Menn senior;06:39.8;02:01.3;;;OK
24;;Gunnar;Gjeldvik;M;;;SS1;Menn senior;06:46.6;02:08.1;;;OK
25;;Eivind;Haugen;M;;;SS1;Menn senior;06:48.8;02:10.3;;;OK
26;;Stig;Brudeseth;M;;;SS1;Menn senior;07:34.4;02:55.9;;;OK
27;;Kjetil;Vaseng;M;;;SS1;Menn senior;07:35.1;02:56.9;;;OK
28;;Ole-Erich;Haas;M;;;SS1;Menn senior;07:47.5;03:09.0;;;OK
29;;Jørund;Dahle;M;;;SS1;Menn senior;07:52.0;03:13.9;;;OK
30;;Sondre;Nakken;M;;;SS1;Menn senior;08:03.8;03:25.3;;;OK
31;;Åge;Vassdal;M;;;SS1;Menn senior;16:38.1;11:59.9;;;OK
1;;Elin;Berg;F;;;SS1;Kvinner senior;06:00.8;00:00.0;;;OK
2;;Anne;Melbø;F;;;SS1;Kvinner senior;06:14.3;00:13.9;;;OK
3;;Maria;Rødahl;F;;;SS1;Kvinner senior;06:34.5;00:33.9;;;OK
4;;Hedda;Gardås;F;;;SS1;Kvinner senior;07:08.6;01:07.9;;;OK
5;;Marianne;Andersson;F;;;SS1;Kvinner senior;08:30.8;02:30.0;;;OK
6;;Solveig;Kosberg;F;;;SS1;Kvinner senior;09:06.9;03:06.1;;;OK
