"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"1";"68";"Stina";"Bondehagen";"F";"NOR";"OSLO";"SS1";"Kvinner";"10:50.90";"0:00.00";"2014-08-23T12:44:20.9430000";"Oslo";""
"2";"96";"Hilde";"Strædet";"F";"NOR";"Kristiansands CK / Kck";"SS1";"Kvinner";"11:46.20";"0:55.30";"2014-08-23T12:59:16.2970000";"Kristiansand S";""
"3";"87";"Vera";"Leivsdottir";"F";"NOR";"NTNUI";"SS1";"Kvinner";"11:56.50";"1:05.60";"2014-08-23T12:54:56.5930000";"Bergen";""
"4";"79";"Rikke";"Westvig";"F";"NOR";"Trysil SK";"SS1";"Kvinner";"12:15.20";"1:24.30";"2014-08-23T12:51:15.2720000";"SOGNDAL";""
"5";"67";"Zea";"Walton";"F";"NOR";"KOPPANG";"SS1";"Kvinner";"12:38.80";"1:47.90";"2014-08-23T12:45:38.8190000";"KOPPANG";""
"6";"97";"Astri";"Knudsen";"F";"NOR";"SK Rye sykkel / Team Ibis";"SS1";"Kvinner";"13:40.90";"2:50.00";"2014-08-23T13:01:40.9300000";"LEIKANGER";""
"7";"107";"Iris Almås";"Tangeraas";"F";"NOR";"Sti5";"SS1";"Kvinner";"14:51.00";"4:00.10";"2014-08-23T13:07:51.0370000";"ÅL";""
"8";"101";"Ragnhild";"Solheim";"F";"NOR";"Snertne Pigers Velocipedklub";"SS1";"Kvinner";"14:51.70";"4:00.80";"2014-08-23T13:04:51.7600000";"Bergen";""
"9";"70";"Randi-Lise";"Almås";"F";"NOR";"OSLO";"SS1";"Kvinner";"16:06.60";"5:15.70";"2014-08-23T12:50:36.6440000";"OSLO";""
"10";"94";"Gunvor";"Huseby";"F";"NOR";"Snertne Pigers Velocipedklub";"SS1";"Kvinner";"18:03.70";"7:12.80";"2014-08-23T13:04:33.7560000";"OSLO";""
"11";"106";"Vibeke";"Brandvold";"F";"NOR";"Norconsult BIL";"SS1";"Kvinner";"19:45.90";"8:55.00";"2014-08-23T13:12:15.9310000";"Sandvika";""
"12";"102";"Lene";"Ånonsen";"F";"NOR";"Arendal CC";"SS1";"Kvinner";"22:31.50";"11:40.60";"2014-08-23T13:13:01.5040000";"Arendal";""
"13";"103";"Beate";"Akselsen";"F";"NOR";"OSLO";"SS1";"Kvinner";"22:38.10";"11:47.20";"2014-08-23T13:13:38.1200000";"OSLO";""
"1";"3";"Svenn";"Fjeldheim";"M";"NOR";"Nedre Buskerud Nerroverlag";"SS1";"Menn";"8:06.00";"0:00.00";"2014-08-23T12:09:06.0000000";"SOLBERGELVAS";""
"2";"1";"Jostein";"Hole";"M";"NOR";"Drammen CK / Nedre Buskerud Nerroverlag";"SS1";"Menn";"8:06.60";"0:00.60";"2014-08-23T12:08:06.6510000";"Drammen";""
"3";"6";"Nils Einar";"Berget";"M";"NOR";"Hallelujamafiaen";"SS1";"Menn";"8:14.00";"0:08.00";"2014-08-23T12:10:44.0190000";"VALDERØYA";""
"4";"4";"Øyvind";"Mæhle";"M";"NOR";"Vpg Enduro";"SS1";"Menn";"8:21.00";"0:15.00";"2014-08-23T12:09:51.0000000";"OPPDAL";""
"5";"120";"Snorre";"Setrom";"M";"NOR";"";"SS1";"Menn";"8:39.70";"0:33.70";"2014-08-23T12:08:09.7640000";"";""
"6";"9";"Baard Mark";"Hellebostad";"M";"NOR";"Nesodden SK";"SS1";"Menn";"8:46.60";"0:40.60";"2014-08-23T12:12:46.6300000";"BORGEN";""
"7";"10";"Thomas";"Klingenberg";"M";"NOR";"SK Rye sykkel / Rye";"SS1";"Menn";"8:49.90";"0:43.90";"2014-08-23T12:13:19.9580000";"Oslo";""
"8";"8";"Øyvind";"Sætra";"M";"NOR";"Freeride Radicals";"SS1";"Menn";"8:50.90";"0:44.90";"2014-08-23T12:12:20.9600000";"Sogndal";""
