Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
1;2;Zakarias; Johansen;M;;;FE1;Menn;00:24:14;;;;OK
2;4;Lars; Sandviken;M;;;FE1;Menn;00:25:16;;;;OK
3;1;Jostein; Hole;M;;;FE1;Menn;00:25:31;;;;OK
4;5;Ove; Grøndal;M;;;FE1;Menn;00:25:48;;;;OK
5;6;Isak; Leivsson;M;;;FE1;Menn;00:26:21;;;;OK
6;11;Bård; Sturla Stokke;M;;;FE1;Menn;00:27:26;;;;OK
7;17;Terje; Nylende;M;;;FE1;Menn;00:27:40;;;;OK
8;10;Bjørn; Ballangrud;M;;;FE1;Menn;00:28:07;;;;OK
9;45;Pål Kristian; Gimmestad;M;;;FE1;Menn;00:28:39;;;;OK
10;29;Lars; Brataas;M;;;FE1;Menn;00:28:56;;;;OK
11;50;Thomas; Svendsen;M;;;FE1;Menn;00:29:03;;;;OK
12;88;Pål Erik; Engedal;M;;;FE1;Menn;00:29:46;;;;OK
13;74;Anders; Veland;M;;;FE1;Menn;00:30:06;;;;OK
15;42;Thomas; Borthen;M;;;FE1;Menn;00:30:30;;;;OK
16;16;Pål; Grotnes;M;;;FE1;Menn;00:30:32;;;;OK
17;61;Magnus; Grönberg;M;;;FE1;Menn;00:30:44;;;;OK
18;77;Nikolai; Sele;M;;;FE1;Menn;00:30:44;;;;OK
19;82;Steinar; Willassen;M;;;FE1;Menn;00:30:46;;;;OK
20;80;Erling; Grøstad;M;;;FE1;Menn;00:30:47;;;;OK
21;33;Anders; Samnøy;M;;;FE1;Menn;00:30:55;;;;OK
22;35;Morgan; bakken;M;;;FE1;Menn;00:31:02;;;;OK
23;91;Martin; Svendsen;M;;;FE1;Menn;00:31:24;;;;OK
24;20;Sondre Dan; Lindkjølen;M;;;FE1;Menn;00:31:32;;;;OK
25;43;Rune; Tangen;M;;;FE1;Menn;00:31:35;;;;OK
26;13;Jørgen; Tollefsrud;M;;;FE1;Menn;00:32:01;;;;OK
27;48;Erlend; Ulvik Paulsen;M;;;FE1;Menn;00:32:09;;;;OK
28;30;Christopher; Ebbang;M;;;FE1;Menn;00:32:30;;;;OK
29;14;Kristian; Ertnes;M;;;FE1;Menn;00:32:33;;;;OK
31;92;Fredrik; Sætren;M;;;FE1;Menn;00:32:50;;;;OK
32;52;Håkon; Flaen;M;;;FE1;Menn;00:32:53;;;;OK
1;22;Stina; Bondehagen;F;;;FE1;Kvinner;00:30:18;;;;OK
2;24;Hilde; Sangesland Strædet;F;;;FE1;Kvinner;00:32:35;;;;OK
3;25;Helene; Thon Moland;F;;;FE1;Kvinner;00:32:56;;;;OK
