"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"1";"2";"Hilde";"Strædet";"F";"NOR";"Kristiansands CK";"FE 1";"K Senior";"8:34.0";"0:00.0";"2015-06-28T11:09:04.2880000";"Kristiansand S";""
"2";"1";"Alice";"Grindheim";"F";"NOR";"Drammen CK";"FE 1";"K Senior";"9:02.0";"0:28.0";"2015-06-28T11:09:02.0000000";"Oslo";""
"3";"9";"Stina";"Bondehagen";"F";"NOR";"Oslostudentenes IK";"FE 1";"K Senior";"9:14.0";"0:40.0";"2015-06-28T11:13:14.3280000";"Oslo";""
"4";"3";"Helene Thon";"Moland";"F";"NOR";"Hemsedal IL Sykkel";"FE 1";"K Senior";"9:15.0";"0:41.0";"2015-06-28T11:10:15.6260000";"Hosle";""
"5";"12";"Susanne";"Beijer";"F";"SWE";"Hemsedal IL Sykkel";"FE 1";"K Senior";"10:35.0";"2:01.0";"2015-06-28T11:16:05.0000000";"Hemsedal";""
"6";"11";"Astri";"Knudsen";"F";"NOR";"SK Rye sykkel / Team Ibis";"FE 1";"K Senior";"11:04.0";"2:30.0";"2015-06-28T11:16:04.0000000";"LEIKANGER";""
"7";"21";"Sigrid";"Michaelsen";"F";"NOR";"SOGNDAL";"FE 1";"K Senior";"11:05.0";"2:31.0";"2015-06-28T11:21:05.0000000";"SOGNDAL";""
"7";"22";"Ragnhild";"Solheim";"F";"NOR";"BERGEN";"FE 1";"K Senior";"11:05.0";"2:31.0";"2015-06-28T11:21:35.0000000";"Bergen";""
"9";"20";"Marta Skadal";"Kvåle";"F";"NOR";"OSLO";"FE 1";"K Senior";"11:47.0";"3:13.0";"2015-06-28T11:21:17.0000000";"OSLO";""
"10";"6";"Guro";"Stjernvang";"F";"NOR";"Hemsedal IL Sykkel / Star Motor";"FE 1";"K Senior";"11:55.0";"3:21.0";"2015-06-28T11:14:25.0000000";"Hosle";""
"11";"19";"Lise";"Stene";"F";"NOR";"OSLO";"FE 1";"K Senior";"12:04.0";"3:30.0";"2015-06-28T11:21:04.0000000";"OSLO";""
