"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"1";"78";"Alice";"Grindheim";"F";"NOR";"Drammen CK";"FE 1";"K Senior";"15:31.0";"0:00.0";"2015-05-23T11:54:01.3750000";"Oslo";""
"2";"58";"Stina";"Bondehagen";"F";"NOR";"Oslostudentenes IK";"FE 1";"K Senior";"15:41.0";"0:10.0";"2015-05-23T11:44:11.7010000";"Oslo";""
"3";"83";"Hilde";"Strædet";"F";"NOR";"Kristiansands CK / Kristiansand Cykelklubb";"FE 1";"K Senior";"16:07.0";"0:36.0";"2015-05-23T11:57:07.7430000";"Kristiansand S";""
"4";"85";"Vera";"Leivsdottir";"F";"NOR";"NTNUI";"FE 1";"K Senior";"16:19.0";"0:48.0";"2015-05-23T11:58:19.2420000";"Bergen";""
"5";"182";"Anne";"Melbo";"F";"NOR";"Molde CK";"FE 1";"K Senior";"17:00.0";"1:29.0";"2015-05-23T12:47:30.3090000";"Molde";""
"6";"136";"Helene Thon";"Moland";"F";"NOR";"Hemsedal IL Sykkel";"FE 1";"K Senior";"17:03.0";"1:32.0";"2015-05-23T12:24:33.3860000";"Hosle";""
"7";"104";"Ida";"Håkonsson";"F";"NOR";"SK Rye sykkel";"FE 1";"K Senior";"17:25.0";"1:54.0";"2015-05-23T12:08:55.5210000";"Oslo";""
"8";"131";"Astri";"Knudsen";"F";"NOR";"SK Rye sykkel / Team Ibis";"FE 1";"K Senior";"17:28.0";"1:57.0";"2015-05-23T12:22:28.1900000";"LEIKANGER";""
"9";"96";"Joline";"Johansson";"F";"SWE";"Drammen CK";"FE 1";"K Senior";"17:53.0";"2:22.0";"2015-05-23T12:05:23.8310000";"Nittedal";""
"10";"144";"Elinborg";"Ólafsdóttir";"F";"ISL";"Bergen MTB Klubb";"FE 1";"K Senior";"18:14.0";"2:43.0";"2015-05-23T12:29:44.8360000";"BERGEN";""
"11";"184";"Elin";"Berg";"F";"NOR";"MOLDE";"FE 1";"K Senior";"18:16.0";"2:45.0";"2015-05-23T12:49:46.2170000";"Molde";""
"12";"154";"Randi-Lise";"Almås";"F";"NOR";"OSLO";"FE 1";"K Senior";"18:17.0";"2:46.0";"2015-05-23T12:34:47.4840000";"OSLO";""
"13";"98";"Martine";"Walbye";"F";"NOR";"SKREIA";"FE 1";"K Senior";"19:11.0";"3:40.0";"2015-05-23T12:07:41.6100000";"SKREIA";""
"14";"97";"Guro";"Stjernvang";"F";"NOR";"Hemsedal IL Sykkel / Star Motor";"FE 1";"K Senior";"20:37.0";"5:06.0";"2015-05-23T12:08:37.0950000";"Hosle";""
"15";"198";"Inger Helene";"Hamborg";"F";"NOR";"Snertne Pigers Velocipedklub";"FE 1";"K Senior";"22:04.0";"6:33.0";"2015-05-23T13:00:34.7870000";"Kongsberg";""
"16";"199";"Beate";"Akselsen";"F";"NOR";"OSLO";"FE 1";"K Senior";"23:28.0";"7:57.0";"2015-05-23T13:02:28.0290000";"OSLO";""
"17";"152";"Maria";"Bergli";"F";"NOR";"DRAMMEN";"FE 1";"K Senior";"23:32.0";"8:01.0";"2015-05-23T12:39:02.6620000";"Drammen";""
"18";"94";"Synne Marie";"Moss Opsand";"F";"NOR";"OSLO";"FE 1";"K Senior";"36:05.0";"20:34.0";"2015-05-23T12:22:35.9730000";"OSLO";""
"19";"146";"Elisabeth";"Engström";"M";"SWE";"Göteborgs Stigcyklister";"FE 1";"K Senior";"0:00.0";"";"";"Göteborg";""
"19";"105";"Silje Katarina";"Holmsen";"F";"NOR";"Drammen CK";"FE 1";"K Senior";"0:00.0";"";"";"Drammen";""
"19";"130";"Eva";"Spilleth";"F";"NOR";"Bærum OCK";"FE 1";"K Senior";"0:00.0";"";"";"VOGNILL";""
"1";"2";"Zakarias Blom";"Johansen";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"11:35.0";"0:00.0";"2015-05-23T11:12:05.6660000";"Kolsås";""
"2";"4";"Lars Vatnebryn";"Sandviken";"M";"NOR";"Drammen CK";"FE 1";"M Senior";"11:48.0";"0:13.0";"2015-05-23T11:13:18.9930000";"Kongsberg";""
"3";"8";"Ove";"Grøndal";"M";"NOR";"Trailhead Nesbyen";"FE 1";"M Senior";"11:53.0";"0:18.0";"2015-05-23T11:15:23.6060000";"NESBYEN";""
"4";"95";"Petter";"Fagerhaug";"M";"NOR";"Lillehammer CK / NTG Lycra";"FE 1";"M Senior";"11:58.0";"0:23.0";"2015-05-23T11:58:58.8260000";"Gjerdrum";""
"5";"1";"Espen";"Johnsen";"M";"NOR";"Bergen MTB Klubb";"FE 1";"M Senior";"12:02.0";"0:27.0";"2015-05-23T11:12:02.6600000";"Bergen";""
"6";"3";"Jostein";"Hole";"M";"NOR";"Drammen CK / FMC Kongsberg Subsea / Nbnl";"FE 1";"M Senior";"12:08.0";"0:33.0";"2015-05-23T11:13:08.3220000";"Drammen";""
