Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
1;2;Emil Aamil Carlson;;M;;;SS1;Menn senior;2:26;;;;OK
2;1;Jostein Hole;;M;;;SS1;Menn senior;2:20;;;;OK
3;8;Martin Svendsen;;M;;;SS1;Menn senior;2:37;;;;OK
4;13;Erlend Hegrum Askjer;;M;;;SS1;Menn senior;2:39;;;;OK
5;30;Anders Ruud Gundersen;;M;;;SS1;Menn senior;2:47;;;;OK
6;33;Per Christian Dahl Larsen;;M;;;SS1;Menn senior;2:47;;;;OK
7;4;Petter Bentzen;;M;;;SS1;Menn senior;2:49;;;;OK
8;22;Trym Flaget;;M;;;SS1;Menn senior;2:51;;;;OK
9;25;Tony Gjessvåg;;M;;;SS1;Menn senior;2:53;;;;OK
10;16;Fredrik Smith;;M;;;SS1;Menn senior;2:53;;;;OK
11;34;Jonas Olsson;;M;;;SS1;Menn senior;2:54;;;;OK
12;28;Petter Fryksen Lund;;M;;;SS1;Menn senior;2:57;;;;OK
13;3;Christian Coll;;M;;;SS1;Menn senior;2:58;;;;OK
14;14;Geir Ottar Kvernstuen;;M;;;SS1;Menn senior;3:00;;;;OK
15;12;Petter Hofsund Christiansen;;M;;;SS1;Menn senior;3:00;;;;OK
16;26;Christian Hadler;;M;;;SS1;Menn senior;3:06;;;;OK
17;35;Joachim Venberget;;M;;;SS1;Menn senior;3:07;;;;OK
18;23;Thomas Fleischer Wathne;;M;;;SS1;Menn senior;3:07;;;;OK
19;32;Petter Salen;;M;;;SS1;Menn senior;3:09;;;;OK
20;31;Espen Sandengen;;M;;;SS1;Menn senior;3:15;;;;OK
21;10;Simen Scharning;;M;;;SS1;Menn senior;3:16;;;;OK
22;9;Gaute Havik;;M;;;SS1;Menn senior;3:17;;;;OK
23;18;Peter Lomsdalen;;M;;;SS1;Menn senior;3:28;;;;OK
24;21;Jan Erik Heltne;;M;;;SS1;Menn senior;3:32;;;;OK
25;27;Tor Erik Drangsland;;M;;;SS1;Menn senior;3:38;;;;OK
26;5;Stian August Helletun Skarsten;;M;;;SS1;Menn senior;3:40;;;;OK
27;37;Gunnar Vestholm;;M;;;SS1;Menn senior;3:42;;;;OK
28;15;Dirk Scholtholt;;M;;;SS1;Menn senior;3:47;;;;OK
29;17;Dimitri Georgiu;;M;;;SS1;Menn senior;4:01;;;;OK
30;40;Håkon Trydal;;M;;;SS1;Menn senior;4:03;;;;OK
31;39;Espen Devor;;M;;;SS1;Menn senior;4:10;;;;OK
32;54;Elias Høyberg;;M;;;SS1;Menn senior;4:11;;;;OK
33;24;Christoffer Groseth;;M;;;SS1;Menn senior;4:45;;;;OK
34;20;Peder Heyerdahl Utne;;M;;;SS1;Menn senior;4:49;;;;OK
35;29;Vegard Arnesen;;M;;;SS1;Menn senior;15:18;;;;OK
36;6;Daniel Philip Aaby Holt;;M;;;SS1;Menn senior;00:00:00;;;;DNS
37;7;Anders Iversen;;M;;;SS1;Menn senior;00:00:00;;;;DNS
38;19;Jørgen Beyer Strømquist;;M;;;SS1;Menn senior;00:00:00;;;;DNS
39;50;Jens Flakstad Vold;;M;;;SS1;Menn senior;00:00:00;;;;DNS
1;38;Jenny Lindell;;F;;;SS1;Kvinner;5:18;;;;OK
2;36;Silje Holmsen;;F;;;SS1;Kvinner;00:00:00;;;;DNS
1;53;Andreas Hegrum Askjer;;M;;;SS1;Menn junior;2:57;;;;OK
2;47;Peder Kirkebøen;;M;;;SS1;Menn junior;3:03;;;;OK
3;51;Tobias Sandengren;;M;;;SS1;Menn junior;3:08;;;;OK
4;48;Jonas Olsson;;M;;;SS1;Menn junior;3:14;;;;OK
5;49;Kristian Holiman;;M;;;SS1;Menn junior;3:27;;;;OK
6;52;Noah Holmefjord-Dalland;;M;;;SS1;Menn junior;3:34;;;;OK
1;42;Aleksander Ødegaard;;M;;;SS1;Sport;2:54;;;;OK
2;43;Henrik Mülhbradt;;M;;;SS1;Sport;3:07;;;;OK
3;45;Anders Rustberggaard;;M;;;SS1;Sport;3:15;;;;OK
4;46;Jørgen Pettersson;;M;;;SS1;Sport;3:33;;;;OK
5;44;Øyvind Stormyrbrakken;;M;;;SS1;Sport;4:10;;;;OK
6;41;Thomas Haug;;M;;;SS1;Sport;4:10;;;;OK
1;2;Emil Aamil Carlson;;M;;;SS2;Menn senior;2:35;;;;OK
2;13;Erlend Hegrum Askjer;;M;;;SS2;Menn senior;2:26;;;;OK
3;22;Trym Flaget;;M;;;SS2;Menn senior;2:48;;;;OK
4;1;Jostein Hole;;M;;;SS2;Menn senior;2:52;;;;OK
5;30;Anders Ruud Gundersen;;M;;;SS2;Menn senior;2:52;;;;OK
6;33;Per Christian Dahl Larsen;;M;;;SS2;Menn senior;3:00;;;;OK
7;16;Fredrik Smith;;M;;;SS2;Menn senior;3:04;;;;OK
8;3;Christian Coll;;M;;;SS2;Menn senior;3:06;;;;OK
9;4;Petter Bentzen;;M;;;SS2;Menn senior;3:07;;;;OK
10;10;Simen Scharning;;M;;;SS2;Menn senior;3:08;;;;OK
11;8;Martin Svendsen;;M;;;SS2;Menn senior;3:14;;;;OK
12;18;Peter Lomsdalen;;M;;;SS2;Menn senior;3:14;;;;OK
13;34;Jonas Olsson;;M;;;SS2;Menn senior;3:17;;;;OK
14;25;Tony Gjessvåg;;M;;;SS2;Menn senior;3:18;;;;OK
15;28;Petter Fryksen Lund;;M;;;SS2;Menn senior;3:24;;;;OK
16;9;Gaute Havik;;M;;;SS2;Menn senior;3:26;;;;OK
17;14;Geir Ottar Kvernstuen;;M;;;SS2;Menn senior;3:28;;;;OK
18;23;Thomas Fleischer Wathne;;M;;;SS2;Menn senior;3:40;;;;OK
19;5;Stian August Helletun Skarsten;;M;;;SS2;Menn senior;3:44;;;;OK
20;37;Gunnar Vestholm;;M;;;SS2;Menn senior;3:47;;;;OK
