bib;name;gender;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;
72;Vera Leivsdottir;F;Bergen MTB Klubb;Kvinner;07:28.0;1;04:30.0;1;05:54.0;1;13:45.0;1;03:47.0;1;06:29.0;2;41:53.0;00:00.0
90;Alice Grindheim;F;Drammen CK;Kvinner;07:51.0;2;04:40.0;5;05:54.0;1;14:12.0;3;04:14.0;6;06:36.0;3;43:27.0;01:34.0
105;Helene Thon Moland;F;Hemsedal IL Sykkel;Kvinner;08:40.0;6;04:36;3;06:06.0;4;14:45.0;4;03:47.0;1;06:17.0;1;44:11.0;02:18.0
136;Frida Helena Rønning;F;Lillehammer CK;Kvinner;08:19.0;4;04:54.0;6;06:05.0;3;15:11.0;6;04:12.0;5;06:41.0;4;45:22.0;03:29.0
166;Ida Håkonsson;F;SK Rye sykkel;Kvinner;08:10.0;3;04:37.0;4;06:16.0;6;14:57.0;5;04:07.0;4;08:13.0;12;46:20.0;04:27.0
6;Anette Bastnes;F;;Kvinner;09:24.0;11;04:32.0;2;06:28.0;10;14:06.0;2;04:42.0;10;07:30.0;9;46:42.0;04:49.0
139;Elin Berg;F;Molde CK;Kvinner;09:02.0;7;05:11.0;9;06:07.0;5;15:37.0;7;04:25.0;7;07:01.0;7;47:23.0;05:30.0
140;Anne Melnø;F;Molde CK;Kvinner;09:12.0;10;05:05.0;8;06:18.0;7;16:19.0;8;04:29.0;8;07:17.0;8;48:40.0;06:47.0
113;Marte Lund;F;IF Frøy;Kvinner;09:09.0;9;05:26.0;11;06:20.0;8;17:06.0;9;04:38.0;9;06:57.0;6;49:36.0;07:43.0
64;Silje Katarina Holmsen;F;Aron Skiklubb;Kvinner;10:43.0;15;05:50.0;13;06:38.0;11;18:12.0;12;04:53.0;11;06:52.0;5;53:08.0;11:15.0
176;Astri Knudsen;F;Sogn CK;Kvinner;09:59.0;13;06:02.0;14;07:05.0;14;17:55.0;11;05:15.0;13;07:40.0;10;53:56.0;12:03.0
63;Maria Bergli;F;Aron Skiklubb;Kvinner;11:11.0;16;06:48.0;17;07:21.0;15;20:17.0;13;04:55.0;12;08:04.0;11;58:36.0;16:43.0
190;Susanne Beijer;F;Hemsedal IL Sykkel;Kvinner;09:06.0;8;05:18.0;10;06:38.0;11;17:26.0;10;04:05.0;3;22:06.0;14;01:04:39;22:46.0
66;Silje Gjerde;F;Aron Skiklubb;Kvinner;12:45.0;18; 07:29.0;18;08:00.0;17;24:18.0;15;05:53.0;14;09:07.0;13;01:07:32.0;25:39.0
159;Zakarias Blom Johansen;M;SK Rye sykkel;Menn;05:50.0;2;03:17.0;1; 04:43.0;2; 09:53.0;3; 02:45.0;2; 04:30.0;1;30:58.0;00:00.0
132;Petter Fagerhaug;M;Lillehammer CK;Menn;05:42.0;1;03:35.0;6; 04:39.0;1; 09:40.0;2; 02:51.0;3; 04:40.0;2;31:07.0;00:09.0
