"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"1";"11";"Helene Thon";"Moland";"F";"NOR";"";"Heat 1";"Women";"4:08.0";"0:00.0";"2016-06-29T10:41:35.7510000";"";""
"2";"24";"Monica";"Hultin";"F";"NOR";"";"Heat 1";"Women";"4:34.0";"0:26.0";"2016-06-29T10:48:02.5610000";"";""
"3";"12";"Guro";"Stjernvang";"F";"NOR";"";"Heat 1";"Women";"4:36.4";"0:28.4";"2016-06-29T10:42:34.1770000";"";""
"4";"21";"Anne";"Bergesen";"F";"NOR";"";"Heat 1";"Women";"4:44.0";"0:36.0";"2016-06-29T10:47:13.8880000";"";""
"5";"13";"Lise Custers";"Nedrebè";"F";"NOR";"";"Heat 1";"Women";"4:45.1";"0:37.1";"2016-06-29T10:43:17.1870000";"";""
"6";"27";"Marit";"Skjelbred-Knudsen";"F";"NOR";"";"Heat 1";"Women";"4:49.7";"0:41.7";"2016-06-29T10:49:20.3220000";"";""
"7";"14";"Margrethe";"Alm";"F";"NOR";"";"Heat 1";"Women";"4:49.8";"0:41.8";"2016-06-29T10:43:51.2440000";"";""
"8";"16";"Silje";"Frøysland";"F";"NOR";"";"Heat 1";"Women";"4:55.3";"0:47.3";"2016-06-29T10:44:55.4820000";"";""
"9";"20";"Eline";"Moen";"F";"NOR";"";"Heat 1";"Women";"4:57.5";"0:49.5";"2016-06-29T10:46:56.1560000";"";""
"10";"23";"June";"Janson";"F";"NOR";"";"Heat 1";"Women";"5:06.3";"0:58.3";"2016-06-29T10:48:04.5080000";"";""
"11";"15";"Johanna";"Larsson";"F";"SWE";"";"Heat 1";"Women";"5:19.3";"1:11.3";"2016-06-29T10:44:50.7650000";"";""
"12";"19";"Hanne";"Hedenstad";"F";"NOR";"";"Heat 1";"Women";"5:25.6";"1:17.6";"2016-06-29T10:46:54.2030000";"";""
"13";"25";"Astrid";"Lemme";"F";"NOR";"";"Heat 1";"Women";"5:28.4";"1:20.4";"2016-06-29T10:49:29.0880000";"";""
"14";"18";"Marita";"Berg";"F";"NOR";"";"Heat 1";"Women";"6:09.1";"2:01.1";"2016-06-29T10:47:07.8550000";"";""
"15";"17";"Lucie";"Sediva";"F";"NOR";"";"Heat 1";"Women";"6:29.9";"2:21.9";"2016-06-29T10:47:01.5880000";"";""
"16";"26";"Nina Henrichson";"Kresse";"F";"NOR";"";"Heat 1";"Women";"0:00.0";"";"";"";""
"1";"36";"Lars";"Sandviken";"M";"NOR";"";"Heat 1";"Men";"3:16.7";"0:00.0";"2016-06-29T10:51:15.9800000";"";""
"2";"37";"Preben";"Nøkleby";"M";"NOR";"";"Heat 1";"Men";"3:19.2";"0:02.5";"2016-06-29T10:51:47.5100000";"";""
"3";"38";"Tom Custers";"Nedrebø";"M";"NOR";"";"Heat 1";"Men";"3:29.1";"0:12.4";"2016-06-29T10:52:28.6350000";"";""
"4";"39";"Nikolai";"Sele";"M";"NOR";"";"Heat 1";"Men";"3:29.6";"0:12.9";"2016-06-29T10:52:57.9920000";"";""
"5";"41";"Svein";"Øvsthus";"M";"NOR";"";"Heat 1";"Men";"3:29.9";"0:13.2";"2016-06-29T10:54:02.7410000";"";""
"6";"46";"Mark";"Basso";"M";"NOR";"";"Heat 1";"Men";"3:37.9";"0:21.2";"2016-06-29T10:56:37.2330000";"";""
"7";"44";"Thormod";"Liljedahl Ulvund";"M";"NOR";"";"Heat 1";"Men";"3:38.9";"0:22.2";"2016-06-29T10:55:37.9330000";"";""
"8";"43";"Oddbjørn Egge";"Ødegaard";"M";"NOR";"";"Heat 1";"Men";"3:40.2";"0:23.5";"2016-06-29T10:55:09.7540000";"";""
"9";"62";"Borge";"Håmsø";"M";"NOR";"";"Heat 1";"Men";"3:46.7";"0:30.0";"2016-06-29T11:03:46.0590000";"";""
"10";"77";"Thomas";"Velde";"M";"NOR";"DRØBAK";"Heat 1";"Men";"3:46.8";"0:30.1";"2016-06-29T11:09:44.9450000";"Drøbak";""
"11";"67";"Magne";"Holand";"M";"NOR";"";"Heat 1";"Men";"3:49.4";"0:32.7";"2016-06-29T11:05:49.2400000";"";""
"12";"61";"Frank";"Seidel";"M";"NOR";"HVAM";"Heat 1";"Men";"3:49.7";"0:33.0";"2016-06-29T11:03:22.1470000";"Hvam";""
"13";"42";"Arild";"Gravdal";"M";"NOR";"";"Heat 1";"Men";"3:50.5";"0:33.8";"2016-06-29T10:54:51.6300000";"";""
"14";"64";"Martin";"Høydahl";"M";"NOR";"BERGEN";"Heat 1";"Men";"3:52.9";"0:36.2";"2016-06-29T11:04:51.6430000";"Bergen";""
"15";"50";"Hakon";"Skålnes";"M";"NOR";"";"Heat 1";"Men";"3:53.7";"0:37.0";"2016-06-29T10:58:52.3540000";"";""
"16";"53";"Daniel";"Sapak";"M";"NOR";"";"Heat 1";"Men";"3:54.8";"0:38.1";"2016-06-29T10:59:54.8970000";"";""
"17";"40";"Anders";"Veland";"M";"NOR";"";"Heat 1";"Men";"3:55.3";"0:38.6";"2016-06-29T10:53:54.4070000";"";""
"18";"45";"Magnus";"Tveit";"M";"NOR";"";"Heat 1";"Men";"3:55.6";"0:38.9";"2016-06-29T10:56:24.6480000";"";""
"19";"75";"Einar";"Frønum";"M";"NOR";"";"Heat 1";"Men";"4:01.9";"0:45.2";"2016-06-29T11:09:33.4410000";"";""
"20";"49";"Kristoffer";"Rakneberg";"M";"NOR";"";"Heat 1";"Men";"4:02.1";"0:45.4";"2016-06-29T10:58:32.6930000";"";""
"21";"74";"Marius";"Heggholmen";"M";"NOR";"";"Heat 1";"Men";"4:02.2";"0:45.5";"2016-06-29T11:09:03.7510000";"";""
"22";"70";"Petter";"Salen";"M";"NOR";"";"Heat 1";"Men";"4:03.6";"0:46.9";"2016-06-29T11:07:02.4340000";"";""
"23";"4";"Ole-Christian Soland Mellerud";"Mellerud";"M";"NOR";"";"Heat 1";"Boys 12-17";"4:03.7";"0:47.0";"2016-06-29T10:35:03.7890000";"";""
"24";"3";"Marius";"Brakestad";"M";"NOR";"";"Heat 1";"Boys 12-17";"4:05.6";"0:48.9";"2016-06-29T10:34:35.6240000";"";""
"25";"84";"Halvor";"Odden";"M";"NOR";"";"Heat 1";"Men";"4:09.8";"0:53.1";"2016-06-29T11:13:40.4890000";"";""
"26";"51";"Carl";"Van Den Boom";"M";"NZL";"";"Heat 1";"Men";"4:10.3";"0:53.6";"2016-06-29T10:59:38.7590000";"";""
"27";"82";"Even";"Jahnsen";"M";"NOR";"";"Heat 1";"Men";"4:12.0";"0:55.3";"2016-06-29T11:12:43.2780000";"";""
"28";"86";"Sam";"Mccloy";"M";"USA";"";"Heat 1";"Men";"4:12.6";"0:55.9";"2016-06-29T11:14:39.7740000";"";""
"29";"81";"Magnus";"Innerdal";"M";"NOR";"";"Heat 1";"Men";"4:16.0";"0:59.3";"2016-06-29T11:12:16.0630000";"";""
"30";"55";"Johan";"Larsson";"M";"SWE";"";"Heat 1";"Men";"4:17.2";"1:00.5";"2016-06-29T11:00:59.9730000";"";""
"30";"48";"Lars-Georg S.";"Paulsen";"M";"NOR";"";"Heat 1";"Men";"4:17.2";"1:00.5";"2016-06-29T10:58:16.7440000";"";""
"32";"1";"Lars";"Andal";"M";"NOR";"";"Heat 1";"Boys 12-17";"4:21.2";"1:04.5";"2016-06-29T10:34:21.5670000";"";""
"32";"63";"Will";"Clark";"M";"GBR";"";"Heat 1";"Men";"4:21.2";"1:04.5";"2016-06-29T11:04:49.2190000";"";""
"34";"56";"Jon";"Tøn";"M";"NOR";"";"Heat 1";"Men";"4:22.1";"1:05.4";"2016-06-29T11:01:20.9460000";"";""
"35";"72";"Frank";"Juklestad";"M";"NOR";"";"Heat 1";"Men";"4:22.5";"1:05.8";"2016-06-29T11:08:20.7810000";"";""
"36";"60";"Vegard Voll";"Bøyum";"M";"NOR";"";"Heat 1";"Men";"4:28.0";"1:11.3";"2016-06-29T11:03:27.4830000";"";""
"37";"88";"Petter";"Hobbelstad";"M";"NOR";"";"Heat 1";"Men";"4:30.6";"1:13.9";"2016-06-29T11:17:02.2880000";"";""
"38";"7";"Tobias";"Utne";"M";"NOR";"";"Heat 1";"Boys 12-17";"4:31.5";"1:14.8";"2016-06-29T10:37:02.2850000";"";""
"39";"87";"Morten";"Ente";"M";"NOR";"";"Heat 1";"Men";"4:33.7";"1:17.0";"2016-06-29T11:16:32.7810000";"";""
"40";"59";"John Torvald";"Indrebø";"M";"NOR";"";"Heat 1";"Men";"4:35.2";"1:18.5";"2016-06-29T11:03:04.1500000";"";""
"41";"85";"Rasmus Korvald";"Skaare";"M";"NOR";"";"Heat 1";"Men";"4:35.4";"1:18.7";"2016-06-29T11:14:38.1160000";"";""
"42";"83";"Bjørn";"Andreassen";"M";"NOR";"";"Heat 1";"Men";"4:36.3";"1:19.6";"2016-06-29T11:13:35.6490000";"";""
"43";"69";"Fredrik";"Oma";"M";"NOR";"";"Heat 1";"Men";"4:37.0";"1:20.3";"2016-06-29T11:07:06.4260000";"";""
"44";"71";"Per";"Finne";"M";"NOR";"";"Heat 1";"Men";"4:39.6";"1:22.9";"2016-06-29T11:08:09.4830000";"";""
"45";"79";"Thomas";"Liane Stokka";"M";"NOR";"";"Heat 1";"Men";"4:47.9";"1:31.2";"2016-06-29T11:11:48.0670000";"";""
"46";"78";"Kristoffer";"Evensen";"M";"NOR";"";"Heat 1";"Men";"4:54.2";"1:37.5";"2016-06-29T11:11:23.4590000";"";""
"47";"5";"Simen";"Aaslestad";"M";"NOR";"";"Heat 1";"Boys 12-17";"5:02.0";"1:45.3";"2016-06-29T10:36:31.1070000";"";""
"48";"58";"Andreas";"Nordheim";"M";"NOR";"";"Heat 1";"Men";"5:09.3";"1:52.6";"2016-06-29T11:03:09.1260000";"";""
"49";"66";"Martin";"Johannessen";"M";"NOR";"";"Heat 1";"Men";"5:14.9";"1:58.2";"2016-06-29T11:06:46.1350000";"";""
"50";"6";"Mathias";"Juklestad";"M";"NOR";"";"Heat 1";"Boys 12-17";"5:24.8";"2:08.1";"2016-06-29T10:37:23.8140000";"";""
"51";"80";"Frode";"Bredesen";"M";"NOR";"0876";"Heat 1";"Men";"0:00.0";"";"";"0876";""
"51";"73";"Carsten";"Cleve-Hansen";"M";"NOR";"";"Heat 1";"Men";"0:00.0";"";"";"";""
"51";"47";"Christopher";"Ebbang";"M";"NOR";"";"Heat 1";"Men";"0:00.0";"";"";"";""
"51";"57";"Petter D.";"Nygaard";"M";"NOR";"";"Heat 1";"Men";"0:00.0";"";"";"";""
"1";"11";"Helene Thon";"Moland";"F";"NOR";"";"Heat 2";"Women";"7:32.4";"0:00.0";"2016-06-29T12:46:52.4230000";"";""
"2";"12";"Guro";"Stjernvang";"F";"NOR";"";"Heat 2";"Women";"8:16.6";"0:44.2";"2016-06-29T12:47:38.9200000";"";""
"3";"13";"Lise Custers";"Nedrebè";"F";"NOR";"";"Heat 2";"Women";"8:30.4";"0:58.0";"2016-06-29T12:48:14.3500000";"";""
"4";"21";"Anne";"Bergesen";"F";"NOR";"";"Heat 2";"Women";"8:39.8";"1:07.4";"2016-06-29T12:52:26.5470000";"";""
"5";"16";"Silje";"Frøysland";"F";"NOR";"";"Heat 2";"Women";"8:44.2";"1:11.8";"2016-06-29T12:49:48.4190000";"";""
"6";"14";"Margrethe";"Alm";"F";"NOR";"";"Heat 2";"Women";"8:46.3";"1:13.9";"2016-06-29T12:48:55.4140000";"";""
"7";"20";"Eline";"Moen";"F";"NOR";"";"Heat 2";"Women";"8:53.0";"1:20.6";"2016-06-29T12:51:55.1810000";"";""
"8";"24";"Monica";"Hultin";"F";"NOR";"";"Heat 2";"Women";"8:57.3";"1:24.9";"2016-06-29T12:53:52.5370000";"";""
"9";"23";"June";"Janson";"F";"NOR";"";"Heat 2";"Women";"9:01.0";"1:28.6";"2016-06-29T12:52:54.3380000";"";""
"10";"27";"Marit";"Skjelbred-Knudsen";"F";"NOR";"";"Heat 2";"Women";"9:22.6";"1:50.2";"2016-06-29T12:55:31.1180000";"";""
"11";"15";"Johanna";"Larsson";"F";"SWE";"";"Heat 2";"Women";"9:25.1";"1:52.7";"2016-06-29T12:49:33.7600000";"";""
"12";"19";"Hanne";"Hedenstad";"F";"NOR";"";"Heat 2";"Women";"9:48.5";"2:16.1";"2016-06-29T12:51:50.4500000";"";""
"13";"25";"Astrid";"Lemme";"F";"NOR";"";"Heat 2";"Women";"10:10.9";"2:38.5";"2016-06-29T12:54:42.0630000";"";""
"14";"18";"Marita";"Berg";"F";"NOR";"";"Heat 2";"Women";"10:30.3";"2:57.9";"2016-06-29T12:51:19.8880000";"";""
"15";"17";"Lucie";"Sediva";"F";"NOR";"";"Heat 2";"Women";"11:16.6";"3:44.2";"2016-06-29T12:51:17.7200000";"";""
"16";"26";"Nina Henrichson";"Kresse";"F";"NOR";"";"Heat 2";"Women";"0:00.0";"";"";"";""
"1";"36";"Lars";"Sandviken";"M";"NOR";"";"Heat 2";"Men";"6:01.5";"0:00.0";"2016-06-29T12:58:45.1250000";"";""
"2";"37";"Preben";"Nøkleby";"M";"NOR";"";"Heat 2";"Men";"6:08.9";"0:07.4";"2016-06-29T12:59:19.7720000";"";""
"3";"39";"Nikolai";"Sele";"M";"NOR";"";"Heat 2";"Men";"6:24.4";"0:22.9";"2016-06-29T13:00:24.8350000";"";""
"4";"38";"Tom Custers";"Nedrebø";"M";"NOR";"";"Heat 2";"Men";"6:30.0";"0:28.5";"2016-06-29T13:00:01.4240000";"";""
"5";"41";"Svein";"Øvsthus";"M";"NOR";"";"Heat 2";"Men";"6:33.6";"0:32.1";"2016-06-29T13:01:33.5410000";"";""
"6";"77";"Thomas";"Velde";"M";"NOR";"DRØBAK";"Heat 2";"Men";"6:48.4";"0:46.9";"2016-06-29T13:15:31.4310000";"Drøbak";""
"7";"67";"Magne";"Holand";"M";"NOR";"";"Heat 2";"Men";"6:52.0";"0:50.5";"2016-06-29T13:12:01.7620000";"";""
"8";"46";"Mark";"Basso";"M";"NOR";"";"Heat 2";"Men";"6:52.6";"0:51.1";"2016-06-29T13:04:15.1330000";"";""
"9";"44";"Thormod";"Liljedahl Ulvund";"M";"NOR";"";"Heat 2";"Men";"6:54.6";"0:53.1";"2016-06-29T13:03:16.3160000";"";""
"10";"43";"Oddbjørn Egge";"Ødegaard";"M";"NOR";"";"Heat 2";"Men";"6:54.9";"0:53.4";"2016-06-29T13:02:44.7080000";"";""
"11";"62";"Borge";"Håmsø";"M";"NOR";"";"Heat 2";"Men";"6:56.2";"0:54.7";"2016-06-29T13:10:07.9270000";"";""
"12";"40";"Anders";"Veland";"M";"NOR";"";"Heat 2";"Men";"7:01.2";"0:59.7";"2016-06-29T13:01:05.5740000";"";""
"13";"42";"Arild";"Gravdal";"M";"NOR";"";"Heat 2";"Men";"7:04.1";"1:02.6";"2016-06-29T13:02:13.4540000";"";""
"14";"45";"Magnus";"Tveit";"M";"NOR";"";"Heat 2";"Men";"7:06.8";"1:05.3";"2016-06-29T13:03:41.2840000";"";""
"15";"61";"Frank";"Seidel";"M";"NOR";"HVAM";"Heat 2";"Men";"7:07.5";"1:06.0";"2016-06-29T13:09:46.3620000";"Hvam";""
"16";"64";"Martin";"Høydahl";"M";"NOR";"BERGEN";"Heat 2";"Men";"7:09.7";"1:08.2";"2016-06-29T13:11:14.7670000";"Bergen";""
"17";"74";"Marius";"Heggholmen";"M";"NOR";"";"Heat 2";"Men";"7:10.8";"1:09.3";"2016-06-29T13:14:38.4110000";"";""
"18";"4";"Ole-Christian Soland Mellerud";"Mellerud";"M";"NOR";"";"Heat 2";"Boys 12-17";"7:14.4";"1:12.9";"2016-06-29T12:40:10.2740000";"";""
"19";"75";"Einar";"Frønum";"M";"NOR";"";"Heat 2";"Men";"7:18.9";"1:17.4";"2016-06-29T13:15:17.0900000";"";""
"20";"49";"Kristoffer";"Rakneberg";"M";"NOR";"";"Heat 2";"Men";"7:20.6";"1:19.1";"2016-06-29T13:05:16.0670000";"";""
"21";"3";"Marius";"Brakestad";"M";"NOR";"";"Heat 2";"Boys 12-17";"7:24.8";"1:23.3";"2016-06-29T12:39:47.8710000";"";""
"22";"86";"Sam";"Mccloy";"M";"USA";"";"Heat 2";"Men";"7:25.4";"1:23.9";"2016-06-29T13:19:39.7030000";"";""
"23";"82";"Even";"Jahnsen";"M";"NOR";"";"Heat 2";"Men";"7:29.4";"1:27.9";"2016-06-29T13:17:46.9910000";"";""
"24";"51";"Carl";"Van Den Boom";"M";"NZL";"";"Heat 2";"Men";"7:34.7";"1:33.2";"2016-06-29T13:06:22.0390000";"";""
"25";"70";"Petter";"Salen";"M";"NOR";"";"Heat 2";"Men";"7:34.9";"1:33.4";"2016-06-29T13:13:31.1500000";"";""
"26";"81";"Magnus";"Innerdal";"M";"NOR";"";"Heat 2";"Men";"7:38.3";"1:36.8";"2016-06-29T13:17:22.6720000";"";""
"27";"84";"Halvor";"Odden";"M";"NOR";"";"Heat 2";"Men";"7:39.2";"1:37.7";"2016-06-29T13:18:59.0950000";"";""
"28";"1";"Lars";"Andal";"M";"NOR";"";"Heat 2";"Boys 12-17";"7:39.3";"1:37.8";"2016-06-29T12:39:18.4040000";"";""
"28";"48";"Lars-Georg S.";"Paulsen";"M";"NOR";"";"Heat 2";"Men";"7:39.3";"1:37.8";"2016-06-29T13:04:51.0860000";"";""
"30";"63";"Will";"Clark";"M";"GBR";"";"Heat 2";"Men";"7:51.6";"1:50.1";"2016-06-29T13:10:57.8930000";"";""
"31";"50";"Hakon";"Skålnes";"M";"NOR";"";"Heat 2";"Men";"7:52.8";"1:51.3";"2016-06-29T13:06:27.6860000";"";""
"32";"55";"Johan";"Larsson";"M";"SWE";"";"Heat 2";"Men";"7:53.7";"1:52.2";"2016-06-29T13:07:35.0100000";"";""
"33";"60";"Vegard Voll";"Bøyum";"M";"NOR";"";"Heat 2";"Men";"7:55.3";"1:53.8";"2016-06-29T13:09:29.0300000";"";""
"34";"7";"Tobias";"Utne";"M";"NOR";"";"Heat 2";"Boys 12-17";"7:56.5";"1:55.0";"2016-06-29T12:41:55.6340000";"";""
"35";"72";"Frank";"Juklestad";"M";"NOR";"";"Heat 2";"Men";"7:58.8";"1:57.3";"2016-06-29T13:14:34.8150000";"";""
"36";"85";"Rasmus Korvald";"Skaare";"M";"NOR";"";"Heat 2";"Men";"8:01.3";"1:59.8";"2016-06-29T13:19:28.6990000";"";""
"37";"56";"Jon";"Tøn";"M";"NOR";"";"Heat 2";"Men";"8:04.5";"2:03.0";"2016-06-29T13:08:10.8920000";"";""
"38";"5";"Simen";"Aaslestad";"M";"NOR";"";"Heat 2";"Boys 12-17";"8:07.4";"2:05.9";"2016-06-29T12:40:34.8660000";"";""
"39";"83";"Bjørn";"Andreassen";"M";"NOR";"";"Heat 2";"Men";"8:12.4";"2:10.9";"2016-06-29T13:18:34.7320000";"";""
"40";"87";"Morten";"Ente";"M";"NOR";"";"Heat 2";"Men";"8:18.4";"2:16.9";"2016-06-29T13:20:44.3020000";"";""
"41";"88";"Petter";"Hobbelstad";"M";"NOR";"";"Heat 2";"Men";"8:20.9";"2:19.4";"2016-06-29T13:21:10.1390000";"";""
"42";"79";"Thomas";"Liane Stokka";"M";"NOR";"";"Heat 2";"Men";"8:27.3";"2:25.8";"2016-06-29T13:16:58.6720000";"";""
"43";"58";"Andreas";"Nordheim";"M";"NOR";"";"Heat 2";"Men";"8:36.7";"2:35.2";"2016-06-29T13:08:25.5370000";"";""
"44";"78";"Kristoffer";"Evensen";"M";"NOR";"";"Heat 2";"Men";"8:40.4";"2:38.9";"2016-06-29T13:16:46.9780000";"";""
"45";"59";"John Torvald";"Indrebø";"M";"NOR";"";"Heat 2";"Men";"8:41.1";"2:39.6";"2016-06-29T13:09:37.3150000";"";""
"46";"69";"Fredrik";"Oma";"M";"NOR";"";"Heat 2";"Men";"8:46.2";"2:44.7";"2016-06-29T13:13:37.6760000";"";""
"47";"71";"Per";"Finne";"M";"NOR";"";"Heat 2";"Men";"8:46.8";"2:45.3";"2016-06-29T13:14:38.1650000";"";""
"48";"53";"Daniel";"Sapak";"M";"NOR";"";"Heat 2";"Men";"9:29.5";"3:28.0";"2016-06-29T13:09:04.2410000";"";""
