Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
1;;Zakarias Johansen;;M;;;SS1;Menn senior;07:07;;;;OK
2;;Espen Bergli-johnsen;;M;;;SS1;Menn senior;07:39;;;;OK
3;;Preben Alexander Nøkleby;;M;;;SS1;Menn senior;07:44;;;;OK
4;;Bård Stærkebye Pettersen;;M;;;SS1;Menn senior;07:53;;;;OK
5;;Lars Sandviken;;M;;;SS1;Menn senior;07:57;;;;OK
6;;Jon Bokrantz;;M;;;SS1;Menn senior;08:10;;;;OK
7;;Björn Larsson;;M;;;SS1;Menn senior;08:20;;;;OK
8;;Ole Christian Fagerli;;M;;;SS1;Menn senior;08:24;;;;OK
9;;Oscar Schiøtz Smith;;M;;;SS1;Menn senior;08:25;;;;OK
10;;Michael Cook;;M;;;SS1;Menn senior;08:28;;;;OK
11;;Simon Johansson;;M;;;SS1;Menn senior;08:30;;;;OK
12;;Adrian Hilde;;M;;;SS1;Menn senior;08:32;;;;OK
13;;Henrik Ulleland;;M;;;SS1;Menn senior;08:32;;;;OK
14;;Albin Littorin-Sandbu;;M;;;SS1;Menn senior;08:33;;;;OK
15;;Magnus Sørli;;M;;;SS1;Menn senior;08:38;;;;OK
16;;Nicklas Fastegård;;M;;;SS1;Menn senior;08:38;;;;OK
17;;Manfred Kronbrink;;M;;;SS1;Menn senior;08:40;;;;OK
18;;Per Henrik Thorp;;M;;;SS1;Menn senior;08:43;;;;OK
19;;Erlend Hegrum Askjer;;M;;;SS1;Menn senior;08:46;;;;OK
20;;Joachim Ski Torp;;M;;;SS1;Menn senior;08:46;;;;OK
21;;Anton Karlsson;;M;;;SS1;Menn senior;08:49;;;;OK
22;;Joar Sørvik Solem;;M;;;SS1;Menn senior;08:51;;;;OK
23;;Bjørn Ballangrud;;M;;;SS1;Menn senior;08:53;;;;OK
24;;Magnus Grönberg;;M;;;SS1;Menn senior;08:58;;;;OK
25;;Aslak Mørstad;;M;;;SS1;Menn senior;09:00;;;;OK
26;;Anders Veland;;M;;;SS1;Menn senior;09:10;;;;OK
27;;Pål Grotnes;;M;;;SS1;Menn senior;09:12;;;;OK
28;;Pål Nakken;;M;;;SS1;Menn senior;09:13;;;;OK
29;;Ole André Tveit;;M;;;SS1;Menn senior;09:17;;;;OK
30;;Niklas Halvorsen;;M;;;SS1;Menn senior;09:20;;;;OK
31;;Jonas Franzén;;M;;;SS1;Menn senior;09:20;;;;OK
32;;Severin Poppe;;M;;;SS1;Menn senior;09:21;;;;OK
33;;Lars Amdal;;M;;;SS1;Menn senior;09:23;;;;OK
34;;Daniel Bengtsson;;M;;;SS1;Menn senior;09:28;;;;OK
35;;Michal Wiecyk;;M;;;SS1;Menn senior;09:30;;;;OK
36;;Morgan Bakken;;M;;;SS1;Menn senior;09:34;;;;OK
37;;Tom Custers Nedrebø;;M;;;SS1;Menn senior;09:34;;;;OK
38;;Andre Aamodt;;M;;;SS1;Menn senior;09:38;;;;OK
39;;Martin Haugo;;M;;;SS1;Menn senior;09:42;;;;OK
40;;Karsten Hjelseth;;M;;;SS1;Menn senior;09:43;;;;OK
41;;Frank Jonny Brenno;;M;;;SS1;Menn senior;09:44;;;;OK
42;;Øyvind Hem;;M;;;SS1;Menn senior;09:45;;;;OK
43;;Espen Kebely;;M;;;SS1;Menn senior;09:49;;;;OK
44;;Torfinn Dahl;;M;;;SS1;Menn senior;09:51;;;;OK
45;;Marcio Franco;;M;;;SS1;Menn senior;09:52;;;;OK
46;;Sindre Lidsheim;;M;;;SS1;Menn senior;09:52;;;;OK
