Pos Klasse;bib;name;chiptime;diff;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;Class;gender
1;2;Hilde Strædet;22:44.068;0.000;8:00.991;1;2:56.240;1;3:35.128;1;4:01.207;1;4:10.502;1;Master kvinner;F
2;1;Jenny Pedersen;34:27.082;11:43.014;12:15.096;2;4:44.394;2;5:26.738;2;6:13.075;2;5:47.779;2;Master kvinner;F
1;6;Mattias Arnerdal;19:21.290;0.000;6:58.401;1;2:30.179;1;2:55.934;1;3:22.748;1;3:34.028;1;Menn sport;M
2;8;Niklas Bergström;20:09.138;47.848;7:08.875;2;2:36.299;2;3:01.672;3;3:32.120;2;3:50.172;4;Menn sport;M
3;11;Hampus Rocksjö;20:55.303;1:34.013;7:31.625;3;2:41.656;4;3:07.103;4;3:44.933;5;3:49.986;3;Menn sport;M
4;16;William Gibson;21:05.473;1:44.183;7:37.326;4;2:44.344;5;3:09.272;5;3:44.153;4;3:50.378;5;Menn sport;M
5;12;Erik Slettum;21:06.693;1:45.403;7:44.370;6;2:36.663;3;3:01.368;2;3:50.147;6;3:54.145;6;Menn sport;M
6;7;Christoffer Bakke;21:14.275;1:52.985;7:45.891;7;2:46.095;6;3:10.989;6;3:41.951;3;3:49.349;2;Menn sport;M
7;9;Bjørnar Bjørnsen;22:09.474;2:48.184;7:41.322;5;2:50.670;7;3:14.939;7;4:13.630;9;4:08.913;7;Menn sport;M
8;102;Vegard Bjørnsen;22:23.819;3:02.529;7:50.711;8;2:51.544;8;3:18.453;8;4:12.550;8;4:10.561;8;Menn sport;M
9;106;Bjørnar Gjesdal;23:31.863;4:10.573;8:17.899;9;2:56.253;9;3:40.153;10;4:06.008;7;4:31.550;10;Menn sport;M
10;13;Jacob Slettum;23:39.313;4:18.023;8:32.024;10;2:59.482;10;3:33.299;9;4:21.594;10;4:12.914;9;Menn sport;M
11;10;August Gille;24:36.295;5:15.005;8:32.411;11;3:08.529;11;3:50.450;11;4:24.721;11;4:40.184;11;Menn sport;M
12;85;Bjørn Sætnan;27:54.378;8:33.088;9:33.908;12;3:52.124;13;4:09.809;12;5:32.964;13;4:45.573;12;Menn sport;M
13;111;Sean Jonathan Knutsson;33:31.569;14:10.279;10:52.043;13;3:23.047;12;8:38.438;15;5:24.418;12;5:13.623;13;Menn sport;M
14;14;David Tonheim;37:31.912;18:10.622;13:29.978;15;4:38.628;15;6:21.864;14;6:42.911;14;6:18.531;14;Menn sport;M
15;15;Marius Tonheim;40:22.106;21:00.816;13:15.591;14;4:36.273;14;6:14.962;13;6:58.057;15;9:17.223;15;Menn sport;M
1;33;Noah Heieren;13:39.919;0.000;6:41.939;1;;;;;3:25.362;1;3:32.618;1;Gutter 15-16;M
2;31;Oliver Gjelsvik-Bakke;14:09.817;29.898;7:01.772;2;;;;;3:26.858;2;3:41.187;2;Gutter 15-16;M
3;32;Eskil Hafskjold;14:36.269;56.350;7:14.392;4;;;;;3:36.137;3;3:45.740;3;Gutter 15-16;M
4;25;Edvin Almaas-Edvardsen;14:47.078;1:07.159;7:13.423;3;;;;;3:41.116;4;3:52.539;4;Gutter 15-16;M
5;39;Teodor Skare;15:39.306;1:59.387;7:30.826;5;;;;;3:59.417;7;4:09.063;8;Gutter 15-16;M
6;38;Jo Gujord Røisli;15:49.512;2:09.593;7:57.970;6;;;;;3:57.646;6;3:53.896;5;Gutter 15-16;M
7;40;Marius Fenstad Skjærstad;16:36.529;2:56.610;8:05.819;7;;;;;4:09.815;9;4:20.895;11;Gutter 15-16;M
8;45;Adam O'reilly;16:44.569;3:04.650;8:35.929;9;;;;;4:03.436;8;4:05.204;7;Gutter 15-16;M
9;34;Brage Lidsheim;16:58.052;3:18.133;9:13.953;15;;;;;3:46.765;5;3:57.334;6;Gutter 15-16;M
10;28;Ask Gikling Borthne;17:13.694;3:33.775;8:31.896;8;;;;;4:20.976;10;4:20.822;10;Gutter 15-16;M
11;36;Oskar Mollatt Wirstad;17:35.201;3:55.282;8:50.251;12;;;;;4:21.704;11;4:23.246;12;Gutter 15-16;M
12;43;Lavrans Jøranli Sundgaard;17:43.187;4:03.268;8:48.594;10;;;;;4:35.949;13;4:18.644;9;Gutter 15-16;M
13;29;Nikolai Braaten;18:04.358;4:24.439;8:51.824;13;;;;;4:34.512;12;4:38.022;13;Gutter 15-16;M
14;42;Amandus Strand;18:18.763;4:38.844;8:59.024;14;;;;;4:29.832;14;4:49.907;14;Gutter 15-16;M
15;35;Rasmus Mackenzie;19:47.104;6:07.185;8:50.221;11;;;;;5:21.754;15;5:35.129;16;Gutter 15-16;M
16;41;Sindre Ingebretsen Solheim;20:08.989;6:29.070;9:49.964;16;;;;;5:24.250;16;4:54.775;15;Gutter 15-16;M
-;27;Adrian Van Lengen Berge;0.000;-;11:23.781;17;;;;;DNS;;DNS;;Gutter 15-16;M
-;44;Vegard Vartdal;0.000;0.000;DNF;DNF;;;;;DNS;;DNS;;Gutter 15-16;M
1;56;Jonas Oudalstøl;19:30.595;0.000;6:55.677;3;2:35.442;3;2:55.000;1;3:28.270;2;3:36.206;1;Menn junior;M
2;55;Ludvig Meldgaard;19:35.536;4.941;6:52.777;2;2:32.315;1;2:56.534;2;3:25.272;1;3:48.638;4;Menn junior;M
3;62;Lo Zetterlund;19:43.712;13.117;6:50.724;1;2:33.717;2;3:01.826;3;3:36.878;4;3:40.567;2;Menn junior;M
4;57;Ludde Reisten;20:35.539;1:04.944;7:10.367;4;2:41.893;4;3:09.327;5;3:48.295;6;3:45.657;3;Menn junior;M
5;60;Alvin Strand;20:41.934;1:11.339;7:14.270;5;2:42.085;5;3:14.608;7;3:35.720;3;3:55.251;5;Menn junior;M
6;51;Måns Alvarsson;20:54.165;1:23.570;7:19.845;6;2:44.733;6;3:07.256;4;3:37.440;5;4:04.891;8;Menn junior;M
7;54;Mads Langeland;21:50.055;2:19.460;7:45.638;7;2:52.269;8;3:25.886;8;3:48.514;7;3:57.748;6;Menn junior;M
8;58;Sindre Martin Moe Sollund;22:12.198;2:41.603;8:23.017;8;2:47.793;7;3:12.126;6;3:51.388;8;3:57.874;7;Menn junior;M
9;52;Vetle Gikling Borthne;24:39.153;5:08.558;8:49.001;11;3:16.390;11;3:47.989;9;4:15.446;9;4:30.327;9;Menn junior;M
10;59;Sondre Spieler;26:20.033;6:49.438;8:44.185;10;3:01.084;9;4:43.451;11;4:43.641;10;5:07.672;10; Menn junior;M
-;50;Philip Sander Alnes;0.000;0.000;8:27.461;9;3:09.157;10;4:21.850;10;DNS;;DNS;;Menn junior;M
-;53;Fridtjof Digre;0.000;0.000;12:47.436;12;DNS;;DNS;;DNS;;DNS;;Menn junior;M
-;61;Karl Viktor Vatne;0.000;0.000;23:16.310;13;DNS;;DNS;;DNS;;DNS;;Menn junior;M
1;89;Tommy Varg;19:47.982;DNF;7:00.300;1;2:31.300;1;3:02.155;1;3:29.679;1;3:44.548;1;Menn master;M
2;74;Viktor Elofsson;20:42.659;54.677;7:31.186;5;2:36.818;2;3:08.815;2;3:35.934;2;3:49.906;3;Menn master;M
3;84;Hamish Ryan;20:54.081;1:06.099;7:29.855;4;2:41.193;5;3:10.335;3;3:44.908;4;3:47.790;2;Menn master;M
4;87;Johan Schjerve;20:56.133;1:08.151;7:11.357;2;2:38.590;3;3:16.663;5;3:42.349;3;4:07.174;6;Menn master;M
5;86;Anders Samnøy;21:03.459;1:15.477;7:24.153;3;2:40.219;4;3:11.031;4;3:54.143;6;3:53.913;4;Menn master;M
6;75;Arild Heimli Johnsen;22:19.340;2:31.358;7:57.882;7;2:46.349;6;3:35.372;7;3:51.875;5;4:07.862;7;Menn master;M
7;80;Jonathan Paddon;22:31.182;2:43.200;7:43.112;6;3:06.329;7;3:31.117;6;4:05.732;9;4:04.892;5;Menn master;M
8;88;Håvard Sefland;23:28.952;3:40.970;8:18.462;8;3:07.660;8;3:40.423;8;3:59.180;8;4:23.227;9;Menn master;M
9;73;Michail Eliasson;24:23.772;4:35.790;9:13.140;10;3:11.566;10;3:41.210;9;3:56.631;7;4:21.225;8;Menn master;M
10;81;Martin Rettig;24:58.793;5:10.811;8:51.713;9;3:10.915;9;4:11.066;11;4:18.528;10;4:26.571;10;Menn master;M
11;78;Steffen Johannesen;26:09.017;6:21.035;9:21.111;11;3:21.355;11;4:05.093;10;4:47.270;12;4:34.188;11;Menn master;M
12;76;Jan Henrik Høilund;27:09.051;7:21.069;9:38.031;12;3:31.505;12;4:11.098;12;4:42.439;11;5:05.978;13;Menn master;M
13;90;Asbjørn Hoel Winnje;27:28.347;7:40.365;9:52.013;13;3:31.528;13;4:11.948;13;4:52.938;13;4:59.920;12;Menn master;M
14;83;Øystein Røed;29:41.750;9:53.768;10:26.774;14;4:01.521;14;4:52.865;14;5:09.193;14;5:11.397;14;Menn master;M
15;70;Christian Austenå;37:42.680;17:54.698;14:06.930;15;4:27.633;15;5:57.937;15;6:38.016;15;6:32.164;15;Menn master;M
-;71;Emil Carlson;0.000;0.000;DNF;;DNS;;DNS;;DNS;;DNS;;Menn master;M
-;82;Stian Rismyhr;DNS;DNS;DNS;;DNS;;DNS;;DNS;;DNS;;Menn master;M
1;117;Oskar Omdal;17:43.419;0.000;6:18.165;1;2:19.435;1;2:38.119;1;3:06.013;1;3:21.687;1;Menn senior;M
2;110;Espen Johnsen;18:39.446;56.027;6:38.727;2;2:25.294;2;2:46.524;2;3:15.623;2;3:33.278;2;Menn senior;M
3;104;Michael Cook;19:20.680;1:37.261;6:51.408;4;2:29.613;4;2:52.442;4;3:19.426;3;3:47.791;7;Menn senior;M
4;114;Johannes Lund;19:27.493;1:44.074;6:47.274;3;2:29.145;3;2:50.486;3;3:35.202;11;3:45.386;6;Menn senior;M
5;109;Kristian Holiman;19:40.054;1:56.635;6:55.927;5;2:36.553;6;3:03.233;9;3:19.813;4;3:44.528;4;Menn senior;M
6;101;Jens Bergmann;19:54.852;2:11.433;7:11.949;7;2:37.086;7;2:58.981;5;3:26.058;5;3:40.778;3;Menn senior;M
7;118;Mikkel Pedersen;20:02.991;2:19.572;6:59.204;6;2:39.145;9;3:03.359;10;3:27.495;7;3:53.788;9;Menn senior;M
8;116;Jonas Olsson;20:04.842;2:21.423;7:12.103;8;2:35.925;5;3:02.046;8;3:30.208;9;3:44.560;5;Menn senior;M
9;130;Elias Tødås;20:37.233;2:53.814;7:26.920;10;2:39.099;8;3:01.985;7;3:32.594;10;3:56.635;10;Menn senior;M
10;119;Tom Prachanukul;21:18.809;3:35.390;8:02.150;16;2:41.305;10;3:10.196;11;3:28.493;8;3:56.665;11;Menn senior;M
11;120;Kristoffer Rakneberg;21:18.909;3:35.490;7:33.253;11;2:42.678;12;3:12.636;12;3:46.083;12;4:04.259;14;Menn senior;M
12;108;Niklas Halvorsen;21:21.523;3:38.104;7:14.894;9;2:42.230;11;2:59.544;6;3:27.225;6;4:57.630;22;Menn senior;M
13;121;Simon Risan;21:37.219;3:53.800;7:47.735;14;2:44.114;13;3:14.280;14;3:51.296;14;3:59.794;12;Menn senior;M
14;105;Lachlan Cruickshank;21:45.475;4:02.056;7:46.899;13;2:46.552;15;3:18.806;16;3:52.475;15;4:00.743;13;Menn senior;M
15;126;Isak Solomon;21:48.034;4:04.615;7:39.201;12;2:45.628;14;3:15.149;15;3:51.236;13;4:16.820;16;Menn senior;M
16;124;Kevin Scott Johnsen;21:48.876;4:05.457;7:53.954;15;2:48.030;16;3:13.686;13;4:00.888;16;3:52.318;8;Menn senior;M
17;122;Robin Ruston;23:16.239;5:32.820;8:19.636;18;2:52.609;17;3:27.703;17;4:27.397;21;4:08.894;15;Menn senior;M
18;112;Jukka Kulokorpi;23:58.684;6:15.265;8:57.373;20;3:02.005;18;3:27.942;18;4:06.827;17;4:24.537;18;Menn senior;M
19;127;Marcus Søyland;24:03.120;6:19.701;8:19.436;17;3:07.671;20;3:44.868;19;4:11.310;18;4:39.835;21;Menn senior;M
20;115;Henrik Langeland Nielsen;24:19.275;6:35.856;8:42.088;19;3:02.319;19;3:52.018;21;4:21.536;19;4:21.314;17;Menn senior;M
21;107;Frode Gyland;25:04.237;7:20.818;9:04.755;22;3:14.751;21;3:47.036;20;4:23.626;20;4:34.069;19;Menn senior;M
