Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
1st;320;Anette Dale;Vennesla OCK;Kvinner EL-sykkel;12:54.70;1;11:05.51;1;10:18.22;1;3:34.81;1;7:37.00;1;2:00.80;1;47:31.04;;F
1st;111;Izabela Lidzbarska;Bergen CK;Kvinner junior;8:52.82;1;8:17.16;1;8:50.12;2;2:36.92;1;5:24.90;1;1:26.16;2;35:28.08;;F
2nd;110;Emily Skeie-Lebreux CK Nittedal;;Kvinner junior;12:49.01;2;8:35.37;2;8:45.55;1;2:44.09;2;5:53.15;2;1:24.28;1;40:11.45;+4:43.37;F
1st;140;Julia Hamre;;Kvinner master;8:42.40;1;9:08.58;3;8:43.90;1;2:47.63;1;5:49.55;1;1:26.75;1;36:38.81;;F
2nd;143;Synnøve Lofthus;Romsås IL sykkel;Kvinner master;8:53.37;3;8:54.32;2;9:12.73;2;2:55.95;3;5:51.84;2;1:27.13;2;37:15.34;+0:36.53;F
3rd;135;Lise Marie Wiik;;Kvinner master;8:52.75;2;8:49.47;1;9:14.43;3;2:49.45;2;6:16.75;3;1:34.15;3;37:37.00;+0:58.19;F
4th;136;Lene Skotnes;Hafrsfjord SK;Kvinner master;10:30.50;5;10:21.72;5;10:12.47;4;3:49.07;4;7:04.57;4;1:39.85;4;43:38.18;+6:59.37;F
5th;144;Celine Kirkeng;Aron Sportsklubb;Kvinner master;10:03.25;4;9:44.32;4;10:28.27;5;4:04.18;5;9:21.15;7;2:03.53;8;45:44.70;+9:05.89;F
6th;145;Gjertrud Halset;;Kvinner master;10:40.20;6;10:24.45;6;11:13.25;6;4:17.70;6;7:57.05;6;1:54.01;6;46:26.66;+9:47.85;F
7th;141;Ida Marie Sandvand;;Kvinner master;13:03.54;11;10:59.09;9;12:17.25;11;4:27.96;8;7:36.00;5;2:01.03;7;50:24.87;+13:46.06;F
8th;142;Liv Onseng;;Kvinner master;12:06.10;9;12:07.92;11;11:27.45;8;4:27.30;7;9:28.91;8;2:24.23;9;52:01.91;+15:23.10;F
9th;202;Sara Lindstad;;Kvinner master;12:46.13;10;11:07.07;10;12:10.15;10;6:12.40;10;9:38.84;9;1:48.25;5;53:42.84;+17:04.03;F
;134;Anna Brandsdal;Romeriksåsen SK;Kvinner master;11:13.63;7;10:29.25;7;11:14.45;7;4:39.07;9;;DNF;;DNS;DNF;;F
;138;Kristel Linnea Mulelid;IF Frøy;Kvinner master;11:28.65;8;10:42.35;8;11:34.32;9;;DNF;;DNS;;DNS;DNF;;F
;139;Silje Gjerde;SK Rye sykkel;Kvinner master;13:16.00;12;12:59.14;12;13:34.40;12;;DNF;;DNS;;DNS;DNF;;F
;137;Marte Holmøy;SK Rye sykkel;Kvinner master;;;;;;;;;;;;;DNS;;F
1st;218;Nadja Mlodyszewski;Siggerud IL;Kvinner senior;8:19.68;1;8:06.29;1;8:35.57;2;2:36.78;1;5:16.19;1;1:23.55;1;34:18.06;;F
2nd;215;Anna Arvidsson;;Kvinner senior;9:31.58;4;9:30.31;5;8:34.37;1;3:15.77;4;5:56.79;3;1:29.35;3;38:18.17;+4:00.11;F
3rd;221;Mari Aarrestad;Siggerud IL;Kvinner senior;9:46.31;5;9:31.90;6;9:23.87;4;3:13.15;3;6:30.35;4;1:42.85;4;40:08.43;+5:50.37;F
4th;220;Trine Dahl;NTNUI;Kvinner senior;11:14.83;6;10:46.77;7;10:59.12;6;4:15.93;6;7:39.35;5;1:51.83;5;46:47.83;+12:29.77;F
;214;Josefine Björkman;;Kvinner senior;8:56.05;3;8:51.59;2;9:01.57;3;3:18.63;5;;DNF;1:24.40;2;DNF;;F
;217;Nora Stang;SK Rye sykkel;Kvinner senior;8:52.65;2;9:29.12;3;9:29.03;5;2:56.15;2;5:39.30;2;;DNF;DNF;;F
;216;Anna Littorin-Sandbu;SK Rye sykkel;Kvinner senior;11:39.63;7;9:29.61;4;;DNF;;DNS;;DNS;;DNS;DNF;;F
1st;327;Trond Normann;;Menn EL-sykkel;7:17.48;2;6:55.50;1;6:48.85;2;2:10.59;2;4:33.15;2;1:14.18;2;28:59.75;;M
2nd;324;Kjetil Mikaelsen;;Menn EL-sykkel;7:25.91;3;7:01.20;2;6:54.42;3;2:10.60;3;4:27.01;1;1:11.05;1;29:10.19;+0:10.44;M
3rd;329;Kevin Solberg;;Menn EL-sykkel;7:47.80;4;7:35.55;4;7:14.95;4;2:19.80;4;4:53.75;3;1:16.96;3;31:08.81;+2:09.06;M
4th;325;Benjamin Jansen;;Menn EL-sykkel;8:38.62;9;8:21.65;8;7:31.65;6;2:22.70;5;5:21.48;5;1:28.02;5;33:44.12;+4:44.37;M
5th;328;Rune Dale;;Menn EL-sykkel;9:15.55;10;8:20.25;7;7:47.67;7;2:32.70;6;5:06.15;4;1:24.60;4;34:26.92;+5:27.17;M
